Price,Close,High,Low,Open,Volume
Ticker,RHM.DE,RHM.DE,RHM.DE,RHM.DE,RHM.DE
Date,,,,,
2024-07-17,481.26422119140625,508.426733145395,481.26422119140625,507.4317688926643,386324
2024-07-18,490.5173645019531,498.6760833187418,484.54757913276103,488.2289589226556,196705
2024-07-19,487.7314758300781,492.9052715879926,485.74154737767293,492.50729197029125,129650
2024-07-22,491.2138671875,495.19372422652725,485.54255876132635,487.23401014847275,105737
2024-07-23,491.3133239746094,492.9052728132706,485.7415485851431,491.21385184286066,131690
2024-07-24,493.50225830078125,508.22771676580965,488.3284321569072,490.2188884858718,273464
2024-07-25,469.026123046875,492.6067869958619,466.43921002519613,491.6118227847468,380507
2024-07-26,486.83599853515625,487.8309627916057,469.1256469159158,469.1256469159158,210569
2024-07-29,490.81585693359375,498.2780888778339,489.32341054474574,492.30830332244176,182204
2024-07-30,495.98968505859375,497.3826289538821,487.6319913229641,489.5224173497054,149080
2024-07-31,501.2629699707031,502.65594419227625,489.1244245093711,499.0740668697574,218647
2024-08-01,493.999755859375,507.2327683924248,493.7012787264699,502.4569520825466,171613
2024-08-02,477.6823425292969,488.925426409479,473.10550090621507,488.32844178665977,290138
2024-08-05,477.8813171386719,478.577804259245,435.2968593834089,448.7288767586684,769769
2024-08-06,487.3334655761719,491.0148453566239,481.06520310015736,485.741547106256,200534
2024-08-07,492.10931396484375,496.38764800597227,488.4279341702737,491.7113343458385,134148
2024-08-08,509.0237121582031,509.0237121582031,489.2239298199197,490.71637618256267,353609
2024-08-09,535.6887817382812,535.6887817382812,512.008583774091,512.4065937691089,455856
2024-08-12,543.25048828125,547.0313403398453,535.4897791656491,539.2706312242445,248778
2024-08-13,544.8424072265625,547.2303457536983,535.6887845707402,546.2353814886916,207977
2024-08-14,555.1900634765625,555.7870177483206,546.8323393051502,547.2303493048555,271710
2024-08-15,560.3638916015625,562.751769423928,552.0061674037834,559.1699223264798,219161
2024-08-16,559.368896484375,566.1346410330597,557.3789680448915,563.1497483738344,177403
2024-08-19,548.42431640625,551.8071584791609,531.1119138601665,537.4797094634569,336790
2024-08-20,531.9078369140625,551.807120909767,531.3108826853096,548.6232840526906,273484
2024-08-21,534.0968017578125,535.8877252773534,527.7290669408004,535.0917660162019,122446
2024-08-22,530.9129028320312,536.2857341067809,529.9179385758034,534.09680059752,123391
2024-08-23,532.703857421875,532.703857421875,525.3410980445267,531.9078374789651,105861
2024-08-26,532.3058471679688,533.4998163539046,526.5350669517069,532.1068421823469,68596
2024-08-27,532.90283203125,534.8927605462701,526.734102216927,532.7038877619872,100354
2024-08-28,540.66357421875,543.4494618519861,533.6988247717617,535.0917382244819,129617
2024-08-29,539.8675537109375,544.2454205070485,536.2857068616072,541.260527890008,128127
2024-08-30,539.2706298828125,543.0514819320031,537.0816963613446,537.4797063571748,164056
2024-09-02,524.744140625,540.464562757172,518.5753504717237,540.464562757172,224405
2024-09-03,517.3814086914062,528.7240254038372,513.6005566965288,523.5501991713635,158186
2024-09-04,520.7642822265625,525.5400982011605,502.6559217920752,505.44180938327446,164658
2024-09-05,512.6055908203125,521.1622590303634,505.24283112120963,519.3713355361432,171092
2024-09-06,499.4720458984375,514.1975044287682,498.67608665611107,510.8146624669314,144237
2024-09-09,504.4468688964844,508.0287462277007,496.686159982098,501.660981174371,114554
2024-09-10,508.4267272949219,509.22268654238763,500.4670133646687,505.6408395648929,111826
2024-09-11,507.6307678222656,511.01360980444383,502.257936630609,509.62069630394615,106528
2024-09-12,519.1723022460938,519.1723022460938,508.426701138625,513.0035121219448,117844
2024-09-13,518.3763427734375,519.7693169299735,509.8196750341301,517.580383567329,119587
2024-09-16,515.5904541015625,519.5703108515124,513.6005257265876,515.3914491185061,85360
2024-09-17,480.7667236328125,518.1773540435165,479.27427730162276,517.9783490537985,559461
2024-09-18,478.87628173828125,489.0249292414457,474.79695260134383,482.55766161159954,206325
2024-09-19,491.1143493652344,494.298216678775,479.5727582393905,484.4480768873017,183712
2024-09-20,485.24407958984375,493.90025039501296,483.5526282098053,493.50227076556257,243031
2024-09-23,486.3385009765625,488.5274344168614,479.27427927102195,488.5274344168614,89893
2024-09-24,484.2491149902344,489.0249312680452,476.1898984530167,486.537520630873,157767
2024-09-25,489.7214050292969,491.21385137087674,478.279316410518,480.8661991114709,113944
2024-09-26,481.8611755371094,491.1143613074804,477.98082102355346,490.11939705457377,192758
2024-09-27,479.8712463378906,484.8460675952351,478.47830245861405,480.9657130872863,129690
2024-09-30,483.9505920410156,483.9505920410156,469.9215904225852,479.5727555321738,239460
2024-10-01,508.4267272949219,511.4116200187668,481.7616977741333,483.1546416391478,457129
2024-10-02,514.197509765625,524.3461572120633,508.8247089144102,511.41162202466893,238553
2024-10-03,514.197509765625,523.1521879722826,505.8398161788577,516.1874382559934,136423
2024-10-04,517.3814086914062,517.779418681519,510.41665895902196,513.4015517014724,122250
2024-10-07,503.6509094238281,519.769342225073,492.60680030918985,516.386439524736,246049
2024-10-08,499.8700256347656,506.03881603786255,498.87506139967894,504.24786219636724,139685
2024-10-09,496.8851318359375,501.46197338004305,488.8259154766928,500.46700914714614,167846
2024-10-10,478.5777893066406,503.05391516516534,476.2893837486547,493.800729710752,452008
2024-10-11,471.1155700683594,477.28436053371587,463.7528407271881,475.2944320434588,299062
2024-10-14,481.46319580078125,484.34858606078365,474.89642566029005,475.59291278272826,173020
2024-10-15,480.5677185058594,488.5274322699316,473.3044918417028,483.055129057132,190706
2024-10-16,478.77679443359375,485.84101609892787,476.5878610057533,481.46317960714526,185647
2024-10-17,483.8511047363281,488.2289717465105,478.1798267049725,479.47326809004505,145808
2024-10-18,485.6420593261719,486.8359982147859,480.56773554883904,481.5626998046337,154208
2024-10-21,487.9304504394531,491.3133227356408,484.54757814326547,484.74658313405826,120838
2024-10-22,491.6118469238281,495.4922014649302,481.86117895778494,489.4229134063349,190159
2024-10-23,489.6219177246094,493.203795128311,485.04507606231834,491.6118462417881,140100
2024-10-24,500.864990234375,504.6458725487953,489.12442439736714,491.21385536534956,209689
2024-10-25,483.3536071777344,500.267998961382,482.7566529353126,499.07406011264,270632
2024-10-28,488.02996826171875,488.02996826171875,475.5929150440399,483.5526291033544,163255
2024-10-29,486.2390441894531,494.09925574128295,486.2390441894531,488.1294702036047,156908
2024-10-30,483.254150390625,489.12443341738367,475.89139061872834,488.02996666502884,169895
2024-10-31,470.81707763671875,480.3687097883626,462.7578614403584,478.9757659632393,282837
2024-11-01,475.5928955078125,479.0752702657149,471.1155565333666,471.1155565333666,176786
2024-11-04,465.9417419433594,475.99088685085644,461.4644028585844,474.1004608656201,211464
2024-11-05,477.8813171386719,478.577804259245,462.3598991294914,464.05132013618453,142000
2024-11-06,493.3032531738281,500.2680027850337,464.3498183669354,476.38886126090034,548088
2024-11-07,539.0715942382812,542.4544968271202,489.1244093549795,504.2478470558626,922573
2024-11-08,543.25048828125,543.25048828125,524.545172258884,539.2706312242445,462559
2024-11-11,562.15478515625,565.7366320625871,543.8474191892464,547.2303218335177,371466
2024-11-12,571.1094970703125,577.6762370312204,555.588078583912,562.1548185448198,343431
2024-11-13,569.91552734375,575.0893537444505,552.4041803097796,572.1044609049464,336201
2024-11-14,563.5477905273438,568.7215561831481,559.3689284202864,568.12460190834,220484
2024-11-15,572.900390625,584.6409563757459,562.751743348736,563.7467075772364,415387
2024-11-18,572.900390625,572.900390625,572.900390625,572.900390625,0
2024-11-19,601.7543334960938,606.9281594600003,579.2681669613168,582.0540545640987,497447
2024-11-20,593.396728515625,606.3312643219941,583.6460298639673,605.734249309635,300051
2024-11-21,602.9483032226562,608.7190834181721,594.9885896487598,605.9331958128674,269917
2024-11-22,615.8828735351562,615.8828735351562,602.3513839650833,604.9382667356624,209508
2024-11-25,605.9332275390625,623.6435790227233,602.3513805343845,621.8526555203844,332608
2024-11-26,614.6889038085938,618.8677658198179,608.1221640250978,609.7140825399457,142866
2024-11-27,612.89794921875,616.8778060318588,609.1170973918559,609.7140516227039,114371
2024-11-28,612.89794921875,612.89794921875,612.89794921875,612.89794921875,0
2024-11-29,619.2657470703125,621.454619744686,615.6838394864545,617.6737679015548,103526
2024-12-02,625.0365600585938,630.011381356851,618.668764505705,625.2355650560838,197260
2024-12-03,631.603271484375,632.9962456763787,624.6385219799491,626.4294454212422,195477
2024-12-04,648.7166748046875,649.711639029848,638.1700783091043,639.9610017688339,254503
2024-12-05,654.885498046875,660.4572736965745,647.7217431202614,650.1096816717326,280622
2024-12-06,648.5177001953125,658.2683379131164,646.3287666518545,655.0845008256864,190868
2024-12-09,609.9130859375,638.7670492200244,606.3312389245818,636.7771207177814,539911
2024-12-10,609.9130859375,609.9130859375,609.9130859375,609.9130859375,0
2024-12-11,615.683837890625,616.8778070821496,604.9382366224951,607.9231292374087,260905
2024-12-12,623.6435546875,631.0063141326781,620.4596570699149,624.0415646626216,223440
2024-12-13,612.89794921875,629.2153864436142,611.9029850154728,624.6385146718618,156837
2024-12-16,620.65869140625,629.4143647227869,618.469757895166,621.0567014001921,219449
2024-12-17,609.7140502929688,626.2304924680266,603.9432700721057,617.8727688876073,225910
2024-12-18,610.112060546875,614.2909223390185,602.9483061500284,607.1271679421719,105092
2024-12-19,617.0768432617188,617.0768432617188,602.3513844293373,606.7291907158298,184494
2024-12-20,608.5200805664062,614.4898657677554,598.172489320745,611.703978152685,309478
2024-12-23,616.4797973632812,633.3941888547673,614.2909246936784,616.2808531044416,209378
2024-12-27,614.6889038085938,621.4546485883953,613.0969852937459,619.2657758124292,101530
2024-12-30,614.6889038085938,614.6889038085938,614.6889038085938,614.6889038085938,0
2025-01-02,600.9583740234375,617.47475537601,595.187593835659,610.9080159774679,248324
2025-01-03,612.4999389648438,612.4999389648438,590.2127772583542,598.3714958670369,193098
2025-01-06,603.3463134765625,611.703976296412,596.1825591111235,610.9080170842066,282194
2025-01-07,613.8929443359375,616.6788320998439,603.9433018021298,603.9433018021298,194910
2025-01-08,645.5327758789062,646.328735111922,618.0717876091815,618.6687418519941,0
2025-01-09,645.9307861328125,649.3136280565112,638.3690215964684,646.5277403758779,152543
2025-01-10,646.7267456054688,651.5025617351497,639.9610010277709,646.1297913621825,192039
2025-01-13,641.5529174804688,650.308590478689,626.8274591569443,648.9156770061293,191958
2025-01-14,651.7015991210938,653.094573395068,641.9509613866741,642.7469206598879,177130
2025-01-15,653.0945434570312,656.2783804039387,646.1297938620261,649.7116407911956,185731
2025-01-16,682.5454711914062,683.9384454237324,655.2834266223796,658.6663293421442,411607
2025-01-17,682.5454711914062,682.5454711914062,682.5454711914062,682.5454711914062,0
2025-01-20,682.5454711914062,682.5454711914062,682.5454711914062,682.5454711914062,0
2025-01-21,682.5454711914062,682.5454711914062,682.5454711914062,682.5454711914062,0
2025-01-22,714.185302734375,719.7571387856079,703.4397013375781,706.4245939882326,296689
2025-01-23,729.90576171875,731.6967459809483,716.7722819812918,725.5279553821971,362433
2025-01-24,729.90576171875,729.90576171875,729.90576171875,729.90576171875,0
2025-01-27,719.5581665039062,726.721921336662,699.4598762637133,724.134977818495,409281
2025-01-28,728.5128173828125,730.5027458319719,713.1903440331664,720.1550936052242,142673
2025-01-29,738.6614990234375,738.6614990234375,724.7319992305328,729.5078155853973,186428
2025-01-30,743.23828125,754.5808977850949,737.2684958584338,740.4523935461619,252335
2025-01-31,751.5960083007812,756.3718244888812,740.2533917172209,743.4372894185534,240924
2025-02-03,760.1527099609375,768.1124242013661,743.8352714769386,746.2232100401873,383132
2025-02-04,754.3818969726562,770.8982790230431,711.7974397557788,766.5204728149852,564644
2025-02-05,745.0292358398438,770.6993019501912,739.8554094721629,750.6010722080385,353372
2025-02-06,702.8427734375,755.9738281735512,702.8427734375,753.1879404074322,863997
2025-02-07,719.7571411132812,730.3037375552493,709.807498912256,715.3792742537115,427367
2025-02-10,719.7571411132812,719.7571411132812,719.7571411132812,719.7571411132812,0
2025-02-11,727.7168579101562,735.6765717041845,719.1601291448977,728.5128171439997,214715
2025-02-12,724.333984375,725.5279536376615,707.4195918827266,724.5329893734101,277086
2025-02-13,753.1879272460938,753.9838864899621,684.5353949079425,691.5001445654361,810382
2025-02-14,812.8858032226562,828.0092721723585,755.9738352088762,758.9587279991674,763422
2025-02-17,926.90869140625,933.0774820375589,855.0723195576718,895.4678447054883,1025167
2025-02-18,924.122802734375,963.1254143020855,910.7903179400136,961.5334957596482,839484
2025-02-19,928.1026611328125,956.3596707595947,925.515778315738,935.2664160395262,461576
2025-02-20,885.1201782226562,926.7097327233708,881.5383311906535,925.3167584732593,672352
2025-02-21,889.697021484375,902.0345414285974,876.3644765880895,898.0546845315328,357911
2025-02-24,946.6090087890625,946.6090087890625,909.7953316538681,925.3167496143443,509191
2025-02-25,948.0018920898438,984.8155680519658,933.2764338505542,971.0850740278687,670460
2025-02-26,965.1152954101562,966.7072138743533,944.8180009887622,960.1404742997946,0
2025-02-27,995.959228515625,996.9541927798764,961.732433534258,966.7072548555149,497588
2025-02-28,1001.4315185546875,1007.4013040602296,978.8458179131602,999.939072178302,450496
2025-03-03,1138.736572265625,1192.962123325893,1071.576486090064,1144.2088755836337,1241404
